Pickup Community Area,Ride Date,Total Number of Rides
44,08/16/2015,7
44,08/16/2014,9
44,08/16/2016,5
44,06/02/2017,3
44,07/22/2013,2
44,07/22/2017,3
44,07/22/2016,4
44,07/22/2015,15
44,07/22/2014,5
44,01/28/2013,3
44,01/28/2016,11
44,01/28/2017,3
44,01/28/2014,13
44,01/28/2015,11
44,03/10/2015,10
44,03/10/2016,13
44,03/10/2013,4
44,03/10/2014,15
44,11/09/2014,6
44,11/09/2015,9
44,11/09/2016,3
44,11/09/2013,12
44,03/10/2017,6
44,09/27/2014,5
44,09/27/2013,5
44,09/27/2016,2
44,09/27/2015,6
44,02/23/2016,11
44,02/23/2017,10
44,02/23/2014,12
44,02/23/2015,17
44,02/23/2013,5
44,09/11/2016,3
44,09/11/2013,10
44,09/11/2015,7
44,09/11/2014,15
44,04/21/2013,2
44,09/26/2013,4
44,09/26/2014,13
44,04/21/2015,13
44,09/26/2015,19
44,04/21/2014,7
44,09/26/2016,5
44,04/21/2017,5
44,04/21/2016,5
44,07/28/2017,2
44,07/28/2016,10
44,07/28/2013,4
44,07/28/2015,5
44,07/28/2014,5
44,11/18/2016,6
44,11/18/2013,9
44,11/18/2015,7
44,11/18/2014,13
44,12/03/2016,5
44,12/03/2015,13
44,12/13/2013,15
44,09/19/2016,7
44,04/14/2016,5
44,04/14/2017,10
44,04/14/2014,11
44,04/14/2015,14
44,09/19/2013,7
44,09/19/2014,6
44,04/14/2013,3
44,09/19/2015,7
44,03/20/2016,8
44,03/20/2017,2
44,12/13/2015,6
44,03/20/2013,10
44,12/13/2014,13
44,03/20/2014,15
44,12/13/2016,5
44,03/20/2015,10
44,10/22/2016,4
44,10/22/2014,15
44,10/22/2015,12
44,09/09/2015,11
44,09/09/2016,8
44,09/09/2013,4
44,09/09/2014,17
44,04/19/2015,11
44,04/19/2016,6
44,04/19/2013,9
44,04/19/2014,9
44,04/19/2017,6
44,10/22/2013,6
44,11/08/2016,10
44,11/08/2015,9
44,11/08/2014,12
44,11/08/2013,8
44,02/25/2013,8
44,04/04/2017,4
44,11/26/2015,7
44,04/04/2016,6
44,05/01/2017,3
44,11/26/2016,3
44,04/04/2015,6
